iter	Passed	Remaining
0	78	39001
1	83	20763
2	88	14701
3	93	11622
4	98	9783
5	103	8535
6	108	7654
7	113	6993
8	118	6468
9	123	6050
10	129	5751
11	134	5466
12	139	5209
13	144	5024
14	149	4827
15	154	4674
16	160	4566
17	165	4437
18	171	4350
19	176	4244
20	181	4144
21	186	4051
22	191	3976
23	196	3898
24	201	3824
25	205	3750
26	210	3693
27	215	3631
28	220	3581
29	226	3541
30	230	3493
31	235	3450
32	241	3416
33	246	3384
34	251	3341
35	256	3310
36	262	3288
37	267	3253
38	272	3216
39	277	3196
40	282	3167
41	288	3143
42	293	3122
43	298	3094
44	304	3075
45	309	3054
46	314	3029
47	319	3005
48	324	2984
49	329	2964
50	335	2949
51	340	2934
52	345	2915
53	350	2895
54	355	2877
55	361	2863
56	366	2849
57	371	2830
58	377	2821
59	382	2803
60	387	2786
61	392	2769
62	396	2750
63	401	2737
64	407	2725
65	413	2722
66	420	2714
67	424	2697
68	429	2680
69	434	2666
70	439	2656
71	445	2647
72	450	2633
73	455	2619
74	460	2607
75	464	2590
76	469	2579
77	474	2567
78	479	2554
79	484	2541
80	489	2531
81	494	2519
82	499	2507
83	504	2496
84	509	2485
85	513	2472
86	518	2463
87	524	2453
88	529	2444
89	534	2432
90	539	2423
91	544	2412
92	548	2400
93	553	2389
94	558	2379
95	562	2368
96	568	2360
97	573	2353
98	579	2347
99	586	2345
100	591	2337
101	597	2330
102	603	2325
103	609	2322
104	615	2315
105	621	2309
106	628	2307
107	634	2303
108	639	2295
109	645	2288
110	651	2282
111	657	2277
112	662	2270
113	667	2260
114	673	2255
115	681	2254
116	688	2255
117	694	2248
118	700	2241
119	705	2235
120	711	2227
121	718	2225
122	723	2218
123	728	2210
124	734	2202
125	739	2194
126	744	2186
127	750	2181
128	756	2176
129	762	2169
130	768	2164
131	773	2156
132	778	2147
133	785	2145
134	791	2138
135	797	2133
136	802	2125
137	808	2121
138	817	2121
139	824	2119
140	830	2114
141	836	2108
142	841	2100
143	846	2092
144	851	2085
145	857	2079
146	862	2072
147	868	2065
148	875	2061
149	881	2056
150	888	2054
151	894	2046
152	900	2042
153	905	2035
154	912	2031
155	917	2023
156	922	2016
157	927	2008
158	933	2002
159	940	1998
160	946	1991
161	951	1986
162	956	1978
163	963	1973
164	969	1969
165	975	1962
166	981	1956
167	986	1948
168	991	1941
169	996	1934
170	1001	1927
171	1007	1920
172	1013	1915
173	1019	1909
174	1024	1901
175	1029	1896
176	1035	1889
177	1039	1881
178	1045	1874
179	1050	1867
180	1055	1859
181	1059	1852
182	1065	1845
183	1069	1837
184	1074	1829
185	1078	1821
186	1083	1813
187	1088	1806
188	1093	1798
189	1098	1792
190	1103	1785
191	1109	1780
192	1115	1773
193	1119	1766
194	1124	1759
195	1130	1752
196	1135	1745
197	1139	1738
198	1144	1731
199	1149	1724
200	1154	1717
201	1159	1710
202	1164	1703
203	1169	1696
204	1175	1690
205	1179	1683
206	1184	1676
207	1190	1670
208	1194	1663
209	1199	1656
210	1204	1649
211	1209	1643
212	1214	1635
213	1219	1629
214	1225	1624
215	1230	1618
216	1236	1612
217	1242	1606
218	1247	1600
219	1252	1593
220	1256	1586
221	1261	1579
222	1267	1573
223	1271	1566
224	1276	1560
225	1280	1552
226	1286	1547
227	1292	1541
228	1296	1534
229	1301	1527
230	1306	1521
231	1311	1514
232	1316	1508
233	1321	1501
234	1325	1495
235	1330	1488
236	1335	1481
237	1339	1474
238	1344	1468
239	1349	1461
240	1353	1454
241	1358	1448
242	1363	1442
243	1368	1436
244	1373	1429
245	1378	1423
246	1383	1416
247	1387	1410
248	1392	1403
249	1397	1397
250	1402	1391
251	1407	1385
252	1412	1378
253	1417	1372
254	1422	1366
255	1427	1360
256	1431	1353
257	1436	1347
258	1441	1341
259	1446	1334
260	1452	1330
261	1457	1323
262	1463	1318
263	1469	1313
264	1474	1307
265	1480	1302
266	1486	1297
267	1492	1292
268	1497	1286
269	1503	1280
270	1507	1274
271	1512	1268
272	1517	1262
273	1523	1256
274	1528	1250
275	1533	1244
276	1538	1238
277	1543	1232
278	1548	1226
279	1554	1221
280	1559	1215
281	1565	1210
282	1570	1204
283	1575	1198
284	1580	1192
285	1585	1186
286	1590	1180
287	1595	1174
288	1600	1168
289	1605	1162
290	1610	1156
291	1616	1151
292	1621	1145
293	1625	1139
294	1631	1134
295	1636	1128
296	1641	1122
297	1646	1116
298	1651	1110
299	1655	1103
300	1660	1097
301	1665	1092
302	1670	1086
303	1675	1080
304	1680	1074
305	1685	1068
306	1690	1062
307	1695	1057
308	1700	1051
309	1705	1045
310	1711	1039
311	1718	1035
312	1723	1029
313	1728	1023
314	1733	1017
315	1738	1012
316	1743	1006
317	1747	1000
318	1752	994
319	1758	989
320	1763	983
321	1768	977
322	1772	971
323	1778	966
324	1784	960
325	1790	955
326	1796	950
327	1802	945
328	1807	939
329	1812	933
330	1817	928
331	1822	922
332	1827	916
333	1832	910
334	1836	904
335	1841	898
336	1846	893
337	1851	887
338	1856	881
339	1861	876
340	1866	870
341	1872	864
342	1877	859
343	1882	853
344	1887	848
345	1892	842
346	1898	836
347	1903	831
348	1908	825
349	1913	820
350	1918	814
351	1923	808
352	1928	803
353	1933	797
354	1939	792
355	1944	786
356	1949	780
357	1955	775
358	1960	770
359	1966	764
360	1971	759
361	1976	753
362	1980	747
363	1985	741
364	1990	736
365	1994	730
366	1999	724
367	2005	719
368	2010	713
369	2015	708
370	2020	702
371	2025	697
372	2030	691
373	2037	686
374	2042	680
375	2047	675
376	2052	669
377	2057	663
378	2062	658
379	2068	653
380	2073	647
381	2078	642
382	2084	636
383	2089	631
384	2096	626
385	2101	620
386	2106	615
387	2115	610
388	2120	605
389	2125	599
390	2131	594
391	2137	588
392	2143	583
393	2147	577
394	2153	572
395	2159	567
396	2164	561
397	2170	556
398	2176	550
399	2181	545
400	2186	539
401	2192	534
402	2198	529
403	2203	523
404	2209	518
405	2215	512
406	2222	507
407	2228	502
408	2233	496
409	2239	491
410	2245	486
411	2251	481
412	2258	475
413	2264	470
414	2271	465
415	2277	459
416	2284	454
417	2290	449
418	2296	444
419	2302	438
420	2307	433
421	2313	427
422	2320	422
423	2325	416
424	2331	411
425	2337	406
426	2343	400
427	2348	395
428	2353	389
429	2358	383
430	2364	378
431	2370	373
432	2375	367
433	2380	361
434	2385	356
435	2389	350
436	2395	345
437	2400	339
438	2405	334
439	2410	328
440	2416	323
441	2421	317
442	2426	312
443	2431	306
444	2437	301
445	2441	295
446	2447	290
447	2451	284
448	2457	279
449	2462	273
450	2467	268
451	2472	262
452	2477	257
453	2483	251
454	2489	246
455	2494	240
456	2499	235
457	2504	229
458	2510	224
459	2516	218
460	2523	213
461	2528	207
462	2533	202
463	2538	196
464	2543	191
465	2548	185
466	2553	180
467	2558	174
468	2564	169
469	2569	163
470	2573	158
471	2578	152
472	2583	147
473	2588	141
474	2592	136
475	2598	130
476	2603	125
477	2608	120
478	2613	114
479	2617	109
480	2622	103
481	2627	98
482	2631	92
483	2637	87
484	2641	81
485	2647	76
486	2655	70
487	2662	65
488	2670	60
489	2679	54
490	2687	49
491	2698	43
492	2704	38
493	2710	32
494	2715	27
495	2721	21
496	2726	16
497	2730	10
498	2735	5
499	2740	0
